Id,Timestamp,Plant Type,Start Date,Age,Position,Status,Moisture (%),Temperature (°C),Atmospheric Pressure (Pa)
1,2023-09-06 17:07:06.778724,Eggplant,2023-06-13,85,"(1, 1, 1)",Healthy,43.73521601487251,23.938376760013895,98510.84090805505
2,2023-09-06 17:07:06.778856,Tomato,2023-08-10,27,"(2, 1, 1)",Healthy,55.37082691989759,24.114523888554373,98382.0085319501
3,2023-09-06 17:07:06.778932,Cucumber,2023-02-25,193,"(3, 1, 1)",In Danger,56.805982790034854,17.968500721521117,94906.97683615057
4,2023-09-06 17:07:06.778994,Tomato,2023-01-28,221,"(4, 1, 1)",Healthy,52.582185957846946,27.3495579994473,97947.67725154704
5,2023-09-06 17:07:06.779053,Potato,2023-08-30,7,"(1, 2, 1)",In Danger,48.079153330018194,30.971709601727518,103956.62079967583
6,2023-09-06 17:07:06.779114,Tomato,2023-04-21,138,"(2, 2, 1)",Healthy,48.18855019280208,20.452497233158006,100547.16210663295
7,2023-09-06 17:07:06.779173,Cucumber,2023-07-13,55,"(3, 2, 1)",In Danger,49.71661130761441,30.255642581312642,96257.91021190761
8,2023-09-06 17:07:06.779233,Cucumber,2023-03-20,170,"(4, 2, 1)",Healthy,53.282465933808076,24.14336572782728,96727.57677730205
9,2023-09-06 17:07:06.779289,Potato,2023-05-13,116,"(1, 3, 1)",Healthy,49.97833205704766,21.71630792395814,96501.60869885306
10,2023-09-06 17:07:06.779344,Chili,2023-02-16,202,"(2, 3, 1)",In Danger,55.00619538647878,33.13906116933783,95946.83799749096
11,2023-09-06 17:07:06.779399,Eggplant,2023-06-20,78,"(3, 3, 1)",In Danger,54.30404592981469,36.2965880842374,96939.12163879997
12,2023-09-06 17:07:06.779455,Carrot,2023-02-11,207,"(4, 3, 1)",Healthy,57.17532077745459,27.40635385168278,99362.39119206244
