Id,Plant Type,Start Date,Age,Position,Status,Moisture (%),Temperature (°C),Atmospheric Pressure (Pa)
1,Eggplant,2023-06-13,85,"(1, 1, 1)",Dead,73.76898385912591,14.942202477240336,98860.89776548202
2,Tomato,2023-08-10,27,"(2, 1, 1)",Healthy,78.9894130641957,25.92236091574599,99356.26356720163
3,Cucumber,2023-02-25,193,"(3, 1, 1)",Healthy,77.1105075077432,23.903914932457823,95143.44467539388
4,Tomato,2023-01-28,221,"(4, 1, 1)",Healthy,77.16404227210379,28.97938605870961,97644.89256719168
5,Potato,2023-08-30,7,"(1, 2, 1)",Healthy,76.62719716151301,28.709274935020872,103542.21040343562
6,Tomato,2023-04-21,138,"(2, 2, 1)",Healthy,71.40647392060322,26.813940473914204,101006.2552096068
7,Cucumber,2023-07-13,55,"(3, 2, 1)",Healthy,74.71875424609483,26.86224405098692,95766.24686968548
8,Cucumber,2023-03-20,170,"(4, 2, 1)",Healthy,77.54222851817387,20.573311691113396,95337.24842218132
9,Potato,2023-05-13,116,"(1, 3, 1)",Healthy,77.91322184915373,27.200392900758505,96559.14265569948
10,Chili,2023-02-16,202,"(2, 3, 1)",Healthy,75.32351338643765,28.068416468638613,96171.03174330769
11,Eggplant,2023-06-20,78,"(3, 3, 1)",Healthy,77.6394895063676,27.39433700074742,95959.7363933866
12,Carrot,2023-02-11,207,"(4, 3, 1)",Healthy,76.70650201284806,27.716230760428267,98579.6230281548
